buffer,lon,lat,year,TIN,NO3,NH4
10km,-91.7538817,29.4992629,2011,415.373779296875,189.30392456054688,226.0698699951172
10km,-91.7538817,29.4992629,2012,652.61456298828125,288.60089111328125,364.013671875
10km,-91.7538817,29.4992629,2013,581.14178466796875,248.96739196777344,332.17437744140625
10km,-91.7538817,29.4992629,2014,475.46807861328125,213.0648956298828,262.4031677246094
10km,-91.7538817,29.4992629,2015,500.10693359375,217.46807861328125,282.6388244628906
10km,-91.7538817,29.4992629,2016,544.8214111328125,248.18649291992188,296.6349182128906
10km,-91.7538817,29.4992629,2017,536.00958251953125,231.44888305664062,304.5606689453125
10km,-91.7538817,29.4992629,2018,458.66094970703125,219.84014892578125,238.82083129882812
10km,-91.7538817,29.4992629,2019,490.2109680175781,208.8517608642578,281.3592224121094
10km,-91.7538817,29.4992629,2020,409.9143981933594,171.39988708496094,238.51451110839844
10km,-91.7538817,32.796224,1999,630.9749755859375,334.12225341796875,296.85272216796875
10km,-91.7538817,32.796224,2000,559.72564697265625,298.2439270019531,261.4817199707031
10km,-91.7538817,32.796224,2001,646.6055908203125,334.0391845703125,312.56634521484375
10km,-91.7538817,32.796224,2002,588.537841796875,293.2132568359375,295.3245849609375
10km,-91.7538817,32.796224,2003,533.80792236328125,240.3308868408203,293.4770202636719
10km,-91.7538817,32.796224,2004,651.38714599609375,334.47576904296875,316.9114074707031
10km,-91.7538817,32.796224,2005,429.64453125,202.4835662841797,227.16098022460938
10km,-91.7538817,32.796224,2006,609.42706298828125,292.6049499511719,316.8221435546875
10km,-91.7538817,32.796224,2007,399.2901306152344,187.439208984375,211.85093688964844
10km,-91.7538817,32.796224,2008,503.9194030761719,241.7552032470703,262.1641845703125
10km,-91.7538817,32.796224,2009,599.9359130859375,213.083740234375,386.8522033691406
10km,-91.7538817,32.796224,2010,337.1023864746094,140.85926818847656,196.2431182861328
10km,-91.7538817,32.796224,2011,450.4844665527344,194.1937713623047,256.29071044921875
10km,-91.7538817,32.796224,2012,551.819091796875,227.57818603515625,324.2409362792969
10km,-91.7538817,32.796224,2013,482.21661376953125,205.8481903076172,276.368408203125
10km,-91.7538817,32.796224,2014,438.8755798339844,188.6404571533203,250.2351531982422
10km,-91.7538817,32.796224,2015,431.55755615234375,181.40887451171875,250.14871215820312
10km,-91.7538817,32.796224,2016,531.2276611328125,223.95030212402344,307.2773132324219
10km,-91.7538817,32.796224,2017,451.251953125,182.05824279785156,269.1936950683594
10km,-91.7538817,32.796224,2018,447.81781005859375,192.86968994140625,254.94810485839844
10km,-91.7538817,32.796224,2019,656.01416015625,251.83377075195312,404.1803283691406
10km,-91.7538817,32.796224,2020,550.138671875,222.65553283691406,327.48309326171875
10km,-91.7538817,33.1565939,1999,488.2354431152344,243.97825622558594,244.2572021484375
10km,-91.7538817,33.1565939,2000,579.75372314453125,309.8517761230469,269.9019775390625
10km,-91.7538817,33.1565939,2001,696.24200439453125,352.81719970703125,343.4247741699219
10km,-91.7538817,33.1565939,2002,600.163330078125,281.9314880371094,318.2318115234375
10km,-91.7538817,33.1565939,2003,522.62176513671875,226.46775817871094,296.15399169921875
10km,-91.7538817,33.1565939,2004,610.42681884765625,309.0803527832031,301.3464660644531
10km,-91.7538817,33.1565939,2005,433.4551696777344,201.11129760742188,232.3438720703125
