buffer,lon,lat,mean_TIN,mean_NO3,mean_NH4
10km,-100.5296115,36.7440186,327.4922936179421,116.51344229958274,210.97885305231267
10km,-100.5296115,38.9271279,382.2338950417259,121.64238530939275,260.59151736172765
10km,-100.5296115,40.2353963,381.4721110950817,129.85939199274236,251.61271875554866
10km,-100.5252843,41.0785928,446.17936567826706,137.81092834472656,308.36842692982066
10km,-100.439656,31.3839017,260.14979206431997,110.18107396906072,149.96872052279386
10km,-100.439656,37.6840811,341.2967286543413,119.3429745760831,221.95375581221148
10km,-100.3737447,44.3535933,289.31959186900747,103.69856955788352,185.62102196433327
10km,-100.3497895,35.9022267,341.5882436578924,127.93860001997514,213.64964225075462
10km,-100.3497895,37.2698449,351.00073172829366,126.25191151012073,224.74881813742897
10km,-100.2953039,46.2061318,287.40891057794744,103.20461359891024,184.20429507168856
10km,-99.9912254,39.7959566,373.0018698952415,131.7380915555087,241.26377556540749
10km,-99.9912254,40.121397,399.2397162697532,139.54276310313833,259.6969528198242
10km,-99.8934619,38.0844625,376.31636532870203,134.47217525135386,241.8441918113015
10km,-99.8124935,29.8851459,289.04636174982244,125.52391711148348,163.52244637229225
10km,-99.8124935,39.3198302,366.26198785955256,129.65461349487305,236.60736985640094
10km,-99.634135,35.616176,344.8676986694336,134.6280077153986,210.23969615589488
10km,-99.4909468,36.8019758,350.04691037264735,135.27215680209073,214.77475322376597
10km,-99.456155,30.0945305,298.2313634699041,128.5042506131259,169.72711077603427
10km,-99.456155,40.4903536,402.7815198031339,143.8382270119407,258.9432872425426
10km,-99.4376352,48.2888882,298.6170161854137,105.76625043695623,192.8507676558061
10km,-99.3903862,36.4336481,373.4719709916548,145.6880135969682,227.7839619029652
10km,-99.3673084,36.413792,374.8263140591708,146.3629368868741,228.4633782126687
10km,-99.3673084,39.766638,376.54245549982244,136.9355319630016,239.60692873868075
10km,-99.3267702,38.8791783,394.2878209894354,145.33492521806195,248.95289889248934
10km,-99.2785583,30.6556091,304.36168254505503,129.60157082297584,174.76010617342862
10km,-99.2785583,31.2016122,311.4254587346857,132.65683781016958,178.7686171098189
10km,-99.2785583,37.1894543,370.3497557206587,142.68147798018023,227.66827670010653
10km,-99.2785583,38.8683549,395.2886851917614,146.18467504327947,249.1040045998313
10km,-99.2785583,44.0976225,374.24072265625,125.65634189952503,248.5843838778409
10km,-99.1013498,28.2758921,243.18650713833895,104.2383906624534,138.94811560890892
10km,-98.9799127,30.9093517,329.6863576715643,140.0402727994052,189.64608279141513
10km,-98.9245343,31.7705105,342.7189150723544,145.57171977650034,197.14718801325017
10km,-98.9245343,36.017265,394.19899611039597,156.98233899203214,237.21665677157316
10km,-98.9245343,40.2089857,410.34241971102625,150.4640860124068,259.8783361261541
10km,-98.7481167,29.9603413,347.6795848499645,148.39106715809214,199.28852462768555
10km,-98.7481167,30.692528,334.8551954789595,142.47472659024325,192.3804720098322
10km,-98.7481167,33.2200087,363.8090834184126,153.29522011496803,210.51386399702594
10km,-98.7481167,33.9309651,363.2991277521307,151.1056698885831,212.1934620250355
10km,-98.7481167,36.7181862,409.4012437300249,161.4605803056197,247.94066134366122
10km,-98.7481167,37.2299788,414.3876689564098,162.4727783203125,251.91489271684125
10km,-98.7481167,37.5691719,408.1409412730824,159.83417094837534,248.30677101828834
10km,-98.7481167,38.074904600000004,408.95031183416194,158.29788936268199,250.65241588245738
10km,-98.7481167,38.9094717,385.39657176624644,146.29650254683062,239.10006852583453
10km,-98.7481167,39.4051157,398.8422199596058,149.81536241011187,249.02686171098188
10km,-98.7481167,39.7333849,404.87814053622157,151.2828622297807,253.5952807339755
10km,-98.6600586,38.5000699,408.71045476740056,157.16323054920542,251.54722595214844
