"","lon","lat","Sample_id","Spp_code","new_id","Country","State","County","Locality","year","month","day","seed_eplus","scorer_id","infl_count","X","Institution_specimen_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Municipality","hand_georef_lat","hand_georef_lon","tissue_type","seed_scored","Endo_status_liberal","Endo_status_conservative","Date_scored","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","scorer_factor","collector_factor","NO3_mean","Institutio","primary_co","collector_","collecto_1","location_s","Municipali","hand_geore","hand_geo_1","tissue_typ","seed_score","Endo_statu","Endo_sta_1","Date_score","score_numb","surface_ar","mean_infl_","mean_inflp","HISTO_0","HISTO_11","HISTO_12","HISTO_21","HISTO_22","HISTO_23","HISTO_24","HISTO_31","HISTO_41","HISTO_42","HISTO_43","HISTO_52","HISTO_71","HISTO_81","HISTO_82","HISTO_90","HISTO_95","species_index","species","decade","DevelopedOpenSpace","DevelopedLowIntensity","MediumDeveloped","HighDeveloped","PastureHay","CultivatedCrops","TotalAg","TotalPixels","TotalDeveloped","OtherLC","PercentUrban","PercentAg","year_bin","endo_status_text"
"21",-101.7506777,37.5703377,"KANU_AGHY_32","AGHY","KANU00336306","United States","Kansas","Johnson","De Soto, 3 mi S",2001,5,21,4,"EmilyChong",NA,29,"KANU00336306","Caleb A Morse","Morse","Caleb","Caleb Morse","C Morse","Johnson, Kansas, United States",NA,38.9197222,-94.9741667,"seed",6,1,1,"8/3/22",1,NA,NA,NA,"Scorer11","Collector149",8.5064172744751,"KANU00336306","Caleb A Morse","Morse","Caleb","Johnson, Kansas, United States",NA,38.9197222,-94.9741667,"seed",6,1,1,"8/3/22",1,NA,NA,NA,0,202,0,25923,2663,625,125,46,631,0,45,9106,77928,73806,669375,913,450,"1","A. hyemalis",2000,25923,2663,625,125,73806,669375,743181,861838,29336,10.3640127262896,3.40388796966483,86.2320993040455,"post-1970","E+"
"22",-101.7506777,37.5703377,"KANU_ELVI_73","ELVI","KANU0015749","United States","Kansas","Johnson","Zarah, 1 mi SE",1972,9,16,2,"FaithHill",NA,27,"KANU0015749","R.E. Brooks","Brooks","R.E.","R.E. Brooks","R Brooks","Johnson, Kansas, United States",NA,38.99776,-94.81102,"seed",5,1,1,"9/28/2023",1,NA,NA,NA,"Scorer13","Collector689",8.5064172744751,"KANU0015749","R.E. Brooks","Brooks","R.E.","Johnson, Kansas, United States",NA,38.99776,-94.81102,"seed",5,1,1,"9/28/2023",1,NA,NA,NA,0,202,0,25923,2663,625,125,46,631,0,45,9106,77928,73806,669375,913,450,"3","E. virginicus",1970,25923,2663,625,125,73806,669375,743181,861838,29336,10.3640127262896,3.40388796966483,86.2320993040455,"post-1970","E+"
"23",-101.7979613,37.1333387,"KANU_ELVI_70","ELVI","KANU0015620","United States","Kansas","Morton","Elkhart, 8 mi N, 1 mi E",1971,9,12,2,"FaithHill",NA,30,"KANU0015620","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Morton, Kansas, United States",NA,37.11717,-101.88227,"seed",4,1,1,"9/26/2023",1,NA,NA,NA,"Scorer13","Collector821",8.35183906555176,"KANU0015620","Steve Stephens","Stephens","Steve","Morton, Kansas, United States",NA,37.11717,-101.88227,"seed",4,1,1,"9/26/2023",1,NA,NA,NA,0,359,0,29689,1760,139,85,368,1034,8,23,166483,353539,8691,298099,3086,3412,"3","E. virginicus",1970,29689,1760,139,85,8691,298099,306790,866775,31673,60.9514579908281,3.65412015805717,35.3944218511148,"post-1970","E+"
"24",-102.5298028,35.0017354,"KANU_ELVI_110","ELVI","KANU00183749","United States","Texas","Deaf Smith","Hereford, 14 mi N, edge of Palo Duro Creek",1974,7,28,5,"FaithHill",NA,33,"KANU00183749","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Deaf Smith, Texas, United States",NA,35.037413,-102.402167,"seed",6,1,1,"10/20/2023",1,NA,NA,NA,"Scorer13","Collector821",8.96087646484375,"KANU00183749","Steve Stephens","Stephens","Steve","Deaf Smith, Texas, United States",NA,35.037413,-102.402167,"seed",6,1,1,"10/20/2023",1,NA,NA,NA,0,1839,0,17892,1181,73,12,6,11,0,0,66532,232737,2587,565058,28,2236,"3","E. virginicus",1970,17892,1181,73,12,2587,565058,567645,890192,19158,34.0812993152039,2.15211999209159,63.7665806927045,"post-1970","E+"
"25",-102.6216211,35.4247226,"KANU_ELVI_106","ELVI","KANU00183772","United States","Texas","Oldham","Vega, 23 mi NE",1973,9,12,3,"FaithHill",NA,34,"KANU00183772","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Oldham, Texas, United States",NA,35.496518,-102.170512,"seed",4,1,1,"10/20/2023",1,NA,NA,NA,"Scorer13","Collector821",8.06717395782471,"KANU00183772","Steve Stephens","Stephens","Steve","Oldham, Texas, United States",NA,35.496518,-102.170512,"seed",4,1,1,"10/20/2023",1,NA,NA,NA,0,1499,0,4079,956,66,5,1,7,21,0,476459,389878,176,8912,817,2749,"3","E. virginicus",1970,4079,956,66,5,176,8912,9088,885625,5106,98.3972900494001,0.576541990119972,1.02616796047989,"post-1970","E+"
"26",-103.3587288,29.6629938,"LL_AGHY_12","AGHY","00322007","United States","Texas","Brewster","Chisos Mts.",1931,8,17,NA,"JFWhite",NA,36,"LL00322007","Cornelius H. Mueller","Mueller","Cornelius","Cornelius Mueller","C Mueller","Brewster, Texas, United States",NA,NA,NA,"stem",NA,0,0,NA,1,NA,NA,NA,"Scorer15","Collector151",4.68057537078857,"LL00322007","Cornelius H. Mueller","Mueller","Cornelius","Brewster, Texas, United States",NA,NA,NA,"stem",NA,0,0,NA,1,NA,NA,NA,0,0,0,141,24,19,1,1610,0,106,0,917123,22080,0,213,711,1208,"1","A. hyemalis",1930,141,24,19,1,0,213,213,943236,185,99.9578048335729,0.0196133311281588,0.0225818352989072,"pre-1970","E-"
"27",-103.3587288,29.6629938,"LL_AGHY_17","AGHY","00312183","United States","Texas","Brewster","In bed of small stream. Hidden Valley, near Alpine.",1941,6,20,0,"LaniDufresne",NA,37,"LL00312183","Reginald Rose-Innes","Rose-Innes","Reginald","Reginald Rose-Innes","R Rose-Innes","Brewster, Texas, United States",NA,NA,NA,"seed",5,0,0,"10/01/2019",1,NA,NA,NA,"Scorer19","Collector750",4.68057537078857,"LL00312183","Reginald Rose-Innes|Brunelle R. Moon","Moon","Reginald","Brewster, Texas, United States",NA,NA,NA,"seed",5,0,0,"10/01/2019",1,NA,NA,NA,0,0,0,141,24,19,1,1610,0,106,0,917123,22080,0,213,711,1208,"1","A. hyemalis",1940,141,24,19,1,0,213,213,943236,185,99.9578048335729,0.0196133311281588,0.0225818352989072,"pre-1970","E-"
"28",-103.3587288,29.6629938,"LL_AGHY_9","AGHY","00322007","United States","Texas","Brewster","Chisos Mts.",1931,8,17,NA,"JFWhite",NA,35,"LL00322007","Cornelius H. Mueller","Mueller","Cornelius","Cornelius Mueller","C Mueller","Brewster, Texas, United States",NA,NA,NA,"stem",NA,0,0,NA,1,NA,NA,NA,"Scorer15","Collector151",4.68057537078857,"LL00322007","Cornelius H. Mueller","Mueller","Cornelius","Brewster, Texas, United States",NA,NA,NA,"stem",NA,0,0,NA,1,NA,NA,NA,0,0,0,141,24,19,1,1610,0,106,0,917123,22080,0,213,711,1208,"1","A. hyemalis",1930,141,24,19,1,0,213,213,943236,185,99.9578048335729,0.0196133311281588,0.0225818352989072,"pre-1970","E-"
"29",-103.5460251,45.5841637,"KANU_ELVI_103","ELVI","KANU00183721","United States","South Dakota","Buffalo","Ft Thompson, 1 mi N 3 mi E",1972,9,16,2,"FaithHill",NA,38,"KANU00183721","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Buffalo, South Dakota, United States",NA,44.08674,-99.38025,"seed",4,1,1,"10/17/2023",1,NA,NA,NA,"Scorer13","Collector821",6.53205394744873,"KANU00183721","Steve Stephens","Stephens","Steve","Buffalo, South Dakota, United States",NA,44.08674,-99.38025,"seed",4,1,1,"10/17/2023",1,NA,NA,NA,0,3717,0,2447,2910,627,86,1925,27,1439,6,181452,531452,28661,7176,34,441,"3","E. virginicus",1970,2447,2910,627,86,28661,7176,35837,762400,6070,94.5032791185729,0.796169989506821,4.70055089192025,"post-1970","E+"
"30",-103.5988057,43.7666507,"LL_AGHY_172","AGHY","OttoDegenerLeroyPeiler16272","USA","South Dakota","Custer","Open, pine forest",1942,7,27,NA,"JFWhite",NA,39,"OttoDegenerLeroyPeiler16272","Otto Degener, Leroy Peiler","Peiler","Otto","Otto Peiler","O Peiler","Custer, Custer, South Dakota, USA","Custer",NA,NA,"stem",NA,0,0,NA,1,NA,NA,NA,"Scorer15","Collector644",9.49656963348389,"OttoDegenerLeroyPeiler16272","Otto Degener","Degener","Otto","Custer, Custer, South Dakota, USA","Custer",NA,NA,"stem",NA,0,0,NA,1,NA,NA,NA,0,963,0,9525,3962,2238,395,47,331,636828,74,27223,103728,904,0,34,123,"1","A. hyemalis",1940,9525,3962,2238,395,904,0,904,786375,16120,97.835129550151,2.04991257351772,0.114957876331267,"pre-1970","E-"
