buffer,lon,lat,mean_TIN,mean_NO3,mean_NH4
10km,-99.2785583,38.8683549,32.94072350588712,12.182056210257791,20.758667035536334
10km,-99.2785583,44.0976225,31.186727263710715,10.47136185385964,20.71536532315341
10km,-99.1013498,28.2758921,20.265542247078635,8.686532475731589,11.579009597951716
10km,-98.9799127,30.9093517,27.473862648010254,11.670022769407792,15.803840290416371
10km,-98.9245343,31.7705105,28.559909040277656,12.130976785312999,16.428932666778564
10km,-98.9245343,36.017265,32.849916371432215,13.081861799413508,19.768054832111705
10km,-98.9245343,40.2089857,34.195201960476965,12.538674007762562,21.656528169458564
10km,-98.7481167,29.9603413,28.973298809745096,12.365922017530961,16.607376835562967
10km,-98.7481167,30.692528,27.90459988333962,11.872893810272217,16.03170598636974
10km,-98.7481167,33.2200087,30.317423820495605,12.774601676247336,17.542822057550605
10km,-98.7481167,33.9309651,30.274927442724053,12.592139027335428,17.68278832869096
10km,-98.7481167,36.7181862,34.116769703951746,13.45504834435203,20.661721793088045
10km,-98.7481167,37.2299788,34.53230589086359,13.539398323405873,20.992907784201883
10km,-98.7481167,37.5691719,34.01174467260187,13.319514231248336,20.692231264981356
10km,-98.7481167,38.074904600000004,34.07919198816473,13.191490996967662,20.88770155473189
10km,-98.7481167,38.9094717,32.116381125016645,12.191375277259134,19.925005609338935
10km,-98.7481167,39.4051157,33.236851865595035,12.48461337523027,20.752238447015937
10km,-98.7481167,39.7333849,33.739845275878906,12.606905135241421,21.132939728823576
10km,-98.6600586,38.5000699,34.05920470844615,13.096935835751621,20.962268916043367
10km,-98.6600586,42.3803308,36.34578167308461,12.893825552680276,23.45195583863692
10km,-98.5721016,29.4200763,27.520215251229025,11.702463193373246,15.817752534692938
10km,-98.5721016,40.2357266,34.342506408691406,12.732260443947531,21.610246094790373
10km,-98.5721016,40.5596231,35.512344186956234,12.974211237647317,22.538133014332164
10km,-98.5721016,40.8817333,35.95458819649436,12.994846387342973,22.95974167910489
10km,-98.5721016,41.2020435,36.559412869540125,13.123192158612339,23.43622042916038
10km,-98.5721016,41.520541,35.620862614024766,12.799729737368496,22.821132139726117
10km,-98.5721016,41.8372138,36.712279926646836,13.222067767923528,23.490211963653564
10km,-98.4945922,29.4251905,27.632705775174227,11.739645784551447,15.893059687180953
10km,-98.4119811,30.2767408,29.882881424643777,12.747624158859253,17.13525787266818
10km,-98.3964938,30.3500511,29.56039502403953,12.62554348598827,16.934851277958263
10km,-98.3964938,32.7074673,30.920177026228473,13.193848024715077,17.72632884979248
10km,-98.3964938,34.6612778,33.13595286282626,13.829512162642045,19.30644074353305
10km,-98.3964938,35.8825489,34.52843969518488,13.943252953616055,20.58518648147583
10km,-98.3516918,44.844023,35.55975844643333,11.125727154991843,24.43403096632524
10km,-98.2212979,26.4656319,20.763165127147328,9.075246442448009,11.687918424606323
10km,-98.2212979,27.0273057,21.818438833410088,9.458977114070546,12.35946180603721
10km,-98.2212979,29.8105572,30.94163855639371,13.203468106009744,17.738170537081633
10km,-98.2212979,30.7270349,29.161355885592375,12.467218940908259,16.69413674961437
10km,-98.2212979,31.2737682,30.124963326887652,12.846820332787253,17.27814279903065
