buffer,lon,lat,year,TIN,NO3,NH4
30km,-79.0558445,35.9131996,2009,37.52793884277344,14.620320320129395,22.907617568969727
30km,-79.0558445,35.9131996,2010,29.518123626708984,12.622048377990723,16.896076202392578
30km,-79.0558445,35.9131996,2011,38.885986328125,14.154840469360352,24.73114585876465
30km,-79.0558445,35.9131996,2012,41.3473014831543,15.553364753723145,25.79393768310547
30km,-79.0558445,35.9131996,2013,40.003501892089844,13.512643814086914,26.490856170654297
30km,-79.0558445,35.9131996,2014,34.26749801635742,12.780289649963379,21.487205505371094
30km,-79.0558445,35.9131996,2015,37.38679504394531,13.70249080657959,23.684301376342773
30km,-79.0558445,35.9131996,2016,42.51517105102539,13.438178062438965,29.07699203491211
30km,-79.0558445,35.9131996,2017,32.850406646728516,10.533236503601074,22.317171096801758
30km,-79.0558445,35.9131996,2018,41.16056442260742,13.762862205505371,27.397705078125
30km,-79.0558445,35.9131996,2019,34.93522262573242,11.483481407165527,23.451738357543945
30km,-79.0558445,35.9131996,2020,39.46218490600586,11.745376586914062,27.716808319091797
30km,-79.1450445,41.8439486,1999,48.22224044799805,32.065616607666016,16.1566219329834
30km,-79.1450445,41.8439486,2000,55.913352966308594,34.853458404541016,21.059898376464844
30km,-79.1450445,41.8439486,2001,49.059810638427734,29.71910285949707,19.3407039642334
30km,-79.1450445,41.8439486,2002,58.900634765625,35.1395263671875,23.761110305786133
30km,-79.1450445,41.8439486,2003,58.52577590942383,33.39434051513672,25.131433486938477
30km,-79.1450445,41.8439486,2004,54.51458740234375,30.966794967651367,23.547792434692383
30km,-79.1450445,41.8439486,2005,42.68471145629883,23.4804630279541,19.204246520996094
30km,-79.1450445,41.8439486,2006,52.478294372558594,28.109865188598633,24.368427276611328
30km,-79.1450445,41.8439486,2007,55.40904235839844,29.43819236755371,25.970849990844727
30km,-79.1450445,41.8439486,2008,43.233184814453125,23.61060905456543,19.622577667236328
30km,-79.1450445,41.8439486,2009,39.64231872558594,20.49467658996582,19.14764404296875
30km,-79.1450445,41.8439486,2010,31.838171005249023,15.971258163452148,15.866913795471191
30km,-79.1450445,41.8439486,2011,48.253318786621094,23.159313201904297,25.094003677368164
30km,-79.1450445,41.8439486,2012,41.95759582519531,20.100542068481445,21.857051849365234
30km,-79.1450445,41.8439486,2013,38.79934310913086,18.20656967163086,20.592771530151367
30km,-79.1450445,41.8439486,2014,48.671714782714844,22.00262451171875,26.669090270996094
30km,-79.1450445,41.8439486,2015,37.50816345214844,16.9396915435791,20.568470001220703
30km,-79.1450445,41.8439486,2016,44.63876724243164,19.848196029663086,24.790571212768555
30km,-79.1450445,41.8439486,2017,46.95207595825195,19.981252670288086,26.970823287963867
30km,-79.1450445,41.8439486,2018,41.12293243408203,17.360015869140625,23.76291847229004
30km,-79.1450445,41.8439486,2019,47.852943420410156,20.33011817932129,27.522823333740234
30km,-79.1450445,41.8439486,2020,34.09410095214844,13.435922622680664,20.658178329467773
30km,-79.1548533,39.1042079,1999,33.97798156738281,21.49346160888672,12.48452091217041
30km,-79.1548533,39.1042079,2000,39.278690338134766,23.900117874145508,15.378573417663574
